Country,Region,Year,GDP_Billion_USD,Latitude,Longitude
Belgium,Europe,2004,301.191,50.5039,4.4699
Bhutan,South Asia,2024,7.13,27.5142,90.4336
Fiji,Oceania,2009,3.299,-17.7134,178.065
Belgium,Europe,2007,318.36,50.5039,4.4699
Fiji,Oceania,2021,5.051,-17.7134,178.065
India,South Asia,2008,967.538,20.5937,78.9629
Nepal,South Asia,2022,14.214,28.3949,84.124
Belgium,Europe,2025,382.889,50.5039,4.4699
Costa Rica,Central America,2015,29.325,9.7489,-83.7534
Costa Rica,Central America,2017,32.027,9.7489,-83.7534
Belgium,Europe,2010,319.261,50.5039,4.4699
Costa Rica,Central America,2019,30.819,9.7489,-83.7534
Estonia,Europe,2026,35.818,58.5953,25.0136
Fiji,Oceania,2019,4.527,-17.7134,178.065
Costa Rica,Central America,2014,28.597,9.7489,-83.7534
India,South Asia,2025,3496.735,20.5937,78.9629
Estonia,Europe,2014,25.57,58.5953,25.0136
India,South Asia,2009,1054.736,20.5937,78.9629
Bhutan,South Asia,2012,3.167,27.5142,90.4336
Bhutan,South Asia,2008,2.627,27.5142,90.4336
Algeria,Africa,2015,178.618,28.0339,1.6596
Algeria,Africa,2025,201.978,28.0339,1.6596
Fiji,Oceania,2008,2.966,-17.7134,178.065
Fiji,Oceania,2007,3.432,-17.7134,178.065
Algeria,Africa,2024,204.472,28.0339,1.6596
Singapore,Asia,2006,206.563,1.3521,103.8198
Mexico,North America,2014,1123.874,23.6345,-102.5528
Algeria,Africa,2011,163.628,28.0339,1.6596
Bhutan,South Asia,2010,3.069,27.5142,90.4336
Belgium,Europe,2007,309.373,50.5039,4.4699
Nepal,South Asia,2017,11.123,28.3949,84.124
Costa Rica,Central America,2020,33.153,9.7489,-83.7534
Algeria,Africa,2018,189.256,28.0339,1.6596
Fiji,Oceania,2015,4.047,-17.7134,178.065
Bhutan,South Asia,2020,4.846,27.5142,90.4336
Belgium,Europe,2013,339.508,50.5039,4.4699
Belgium,Europe,2023,350.963,50.5039,4.4699
Romania,Europe,2009,153.441,45.9432,24.9668
Bhutan,South Asia,2020,4.902,27.5142,90.4336
Mexico,North America,2010,1052.038,23.6345,-102.5528
Algeria,Africa,2019,186.865,28.0339,1.6596
Romania,Europe,2008,156.072,45.9432,24.9668
Bhutan,South Asia,2014,3.816,27.5142,90.4336
Singapore,Asia,2011,246.119,1.3521,103.8198
Costa Rica,Central America,2007,23.132,9.7489,-83.7534
Bhutan,South Asia,2011,3.002,27.5142,90.4336
India,South Asia,2007,847.752,20.5937,78.9629
Algeria,Africa,2007,147.741,28.0339,1.6596
Costa Rica,Central America,2012,25.905,9.7489,-83.7534
India,South Asia,2011,1203.344,20.5937,78.9629
Algeria,Africa,2014,174.031,28.0339,1.6596
Algeria,Africa,2010,153.557,28.0339,1.6596
Costa Rica,Central America,2023,35.681,9.7489,-83.7534
Mexico,North America,2022,1370.837,23.6345,-102.5528
India,South Asia,2023,2915.076,20.5937,78.9629
Estonia,Europe,2008,21.086,58.5953,25.0136
Belgium,Europe,2005,278.348,50.5039,4.4699
Fiji,Oceania,2018,4.845,-17.7134,178.065
Singapore,Asia,2024,419.499,1.3521,103.8198
Mexico,North America,2019,1187.196,23.6345,-102.5528
Estonia,Europe,2018,28.826,58.5953,25.0136
Costa Rica,Central America,2014,28.382,9.7489,-83.7534
Algeria,Africa,2004,145.03,28.0339,1.6596
Algeria,Africa,2026,213.528,28.0339,1.6596
India,South Asia,2017,1869.239,20.5937,78.9629
Mexico,North America,2022,1290.541,23.6345,-102.5528
Algeria,Africa,2009,161.725,28.0339,1.6596
Bhutan,South Asia,2013,3.318,27.5142,90.4336
India,South Asia,2011,1181.267,20.5937,78.9629
Belgium,Europe,2004,275.835,50.5039,4.4699
Bhutan,South Asia,2023,5.881,27.5142,90.4336
Bhutan,South Asia,2020,5.316,27.5142,90.4336
Romania,Europe,2018,203.778,45.9432,24.9668
Algeria,Africa,2020,191.566,28.0339,1.6596
Estonia,Europe,2013,24.078,58.5953,25.0136
Fiji,Oceania,2023,5.083,-17.7134,178.065
Romania,Europe,2015,173.495,45.9432,24.9668
Belgium,Europe,2012,328.405,50.5039,4.4699
Nepal,South Asia,2011,8.755,28.3949,84.124
Estonia,Europe,2008,21.971,58.5953,25.0136
Romania,Europe,2021,216.985,45.9432,24.9668
Estonia,Europe,2022,28.974,58.5953,25.0136
Nepal,South Asia,2024,16.363,28.3949,84.124
Romania,Europe,2025,229.514,45.9432,24.9668
Bhutan,South Asia,2018,4.373,27.5142,90.4336
Mexico,North America,2020,1248.93,23.6345,-102.5528
Nepal,South Asia,2012,7.954,28.3949,84.124
Belgium,Europe,2024,352.661,50.5039,4.4699
Nepal,South Asia,2014,9.389,28.3949,84.124
Bhutan,South Asia,2015,3.519,27.5142,90.4336
Bhutan,South Asia,2009,2.704,27.5142,90.4336
Bhutan,South Asia,2023,6.357,27.5142,90.4336
Romania,Europe,2021,218.999,45.9432,24.9668
Bhutan,South Asia,2016,3.944,27.5142,90.4336
Bhutan,South Asia,2012,3.326,27.5142,90.4336
Singapore,Asia,2004,177.635,1.3521,103.8198
Mexico,North America,2019,1125.366,23.6345,-102.5528
Nepal,South Asia,2006,7.135,28.3949,84.124
Mexico,North America,2011,1010.895,23.6345,-102.5528
Singapore,Asia,2017,332.262,1.3521,103.8198
India,South Asia,2026,4207.826,20.5937,78.9629
Fiji,Oceania,2023,4.801,-17.7134,178.065
Algeria,Africa,2025,188.003,28.0339,1.6596
Romania,Europe,2019,203.666,45.9432,24.9668
Romania,Europe,2017,198.224,45.9432,24.9668
Costa Rica,Central America,2005,22.108,9.7489,-83.7534
Belgium,Europe,2008,317.064,50.5039,4.4699
Nepal,South Asia,2010,7.886,28.3949,84.124
Nepal,South Asia,2005,6.775,28.3949,84.124
Romania,Europe,2025,233.091,45.9432,24.9668
Belgium,Europe,2026,361.926,50.5039,4.4699
Singapore,Asia,2009,235.217,1.3521,103.8198
Nepal,South Asia,2010,8.943,28.3949,84.124
Algeria,Africa,2022,200.82,28.0339,1.6596
Costa Rica,Central America,2026,36.321,9.7489,-83.7534
Fiji,Oceania,2010,3.405,-17.7134,178.065
Estonia,Europe,2026,34.758,58.5953,25.0136
Algeria,Africa,2010,156.896,28.0339,1.6596
Bhutan,South Asia,2004,1.88,27.5142,90.4336
Fiji,Oceania,2019,4.388,-17.7134,178.065
Bhutan,South Asia,2022,5.129,27.5142,90.4336
Nepal,South Asia,2014,10.07,28.3949,84.124
Romania,Europe,2025,249.275,45.9432,24.9668
Fiji,Oceania,2023,5.586,-17.7134,178.065
Nepal,South Asia,2022,14.086,28.3949,84.124
India,South Asia,2026,3996.17,20.5937,78.9629
Costa Rica,Central America,2010,25.527,9.7489,-83.7534
Romania,Europe,2008,141.432,45.9432,24.9668
Bhutan,South Asia,2007,2.37,27.5142,90.4336
Belgium,Europe,2005,275.8,50.5039,4.4699
India,South Asia,2004,709.398,20.5937,78.9629
India,South Asia,2020,2431.235,20.5937,78.9629
Nepal,South Asia,2026,16.319,28.3949,84.124
Costa Rica,Central America,2005,21.567,9.7489,-83.7534
Mexico,North America,2006,976.414,23.6345,-102.5528
Costa Rica,Central America,2005,22.785,9.7489,-83.7534
Estonia,Europe,2011,23.94,58.5953,25.0136
Nepal,South Asia,2006,6.388,28.3949,84.124
Singapore,Asia,2011,229.933,1.3521,103.8198
Fiji,Oceania,2005,2.677,-17.7134,178.065
Algeria,Africa,2015,175.575,28.0339,1.6596
Estonia,Europe,2022,32.774,58.5953,25.0136
Estonia,Europe,2021,31.084,58.5953,25.0136
Algeria,Africa,2013,168.284,28.0339,1.6596
Romania,Europe,2020,202.356,45.9432,24.9668
Bhutan,South Asia,2007,2.464,27.5142,90.4336
Costa Rica,Central America,2025,40.39,9.7489,-83.7534
Estonia,Europe,2021,31.135,58.5953,25.0136
India,South Asia,2005,782.203,20.5937,78.9629
Costa Rica,Central America,2018,30.578,9.7489,-83.7534
Bhutan,South Asia,2007,2.426,27.5142,90.4336
Fiji,Oceania,2009,3.922,-17.7134,178.065
Nepal,South Asia,2010,8.599,28.3949,84.124
Singapore,Asia,2016,281.009,1.3521,103.8198
Costa Rica,Central America,2025,37.235,9.7489,-83.7534
Singapore,Asia,2025,406.898,1.3521,103.8198
Estonia,Europe,2014,26.786,58.5953,25.0136
Bhutan,South Asia,2021,5.671,27.5142,90.4336
Belgium,Europe,2019,330.23,50.5039,4.4699
Costa Rica,Central America,2004,21.792,9.7489,-83.7534
Algeria,Africa,2019,184.682,28.0339,1.6596
Algeria,Africa,2013,183.827,28.0339,1.6596
Mexico,North America,2015,1076.79,23.6345,-102.5528
Costa Rica,Central America,2016,31.397,9.7489,-83.7534
Belgium,Europe,2010,313.069,50.5039,4.4699
Romania,Europe,2007,147.339,45.9432,24.9668
Fiji,Oceania,2019,4.707,-17.7134,178.065
Singapore,Asia,2007,210.285,1.3521,103.8198
Nepal,South Asia,2005,6.541,28.3949,84.124
Singapore,Asia,2011,233.609,1.3521,103.8198
Fiji,Oceania,2009,3.337,-17.7134,178.065
Estonia,Europe,2008,21.961,58.5953,25.0136
India,South Asia,2010,999.493,20.5937,78.9629
Singapore,Asia,2005,187.366,1.3521,103.8198
Belgium,Europe,2009,306.08,50.5039,4.4699
Belgium,Europe,2005,302.551,50.5039,4.4699
Bhutan,South Asia,2005,2.288,27.5142,90.4336
Fiji,Oceania,2016,4.578,-17.7134,178.065
Mexico,North America,2023,1210.112,23.6345,-102.5528
Fiji,Oceania,2022,5.195,-17.7134,178.065
Fiji,Oceania,2022,4.57,-17.7134,178.065
Romania,Europe,2019,208.24,45.9432,24.9668
Costa Rica,Central America,2004,24.634,9.7489,-83.7534
Bhutan,South Asia,2025,6.837,27.5142,90.4336
Estonia,Europe,2007,21.731,58.5953,25.0136
Algeria,Africa,2017,190.606,28.0339,1.6596
Nepal,South Asia,2024,16.119,28.3949,84.124
India,South Asia,2012,1279.824,20.5937,78.9629
Belgium,Europe,2004,316.946,50.5039,4.4699
Fiji,Oceania,2005,3.267,-17.7134,178.065
Mexico,North America,2017,1263.312,23.6345,-102.5528
Fiji,Oceania,2024,5.076,-17.7134,178.065
Costa Rica,Central America,2022,33.346,9.7489,-83.7534
India,South Asia,2013,1549.927,20.5937,78.9629
Singapore,Asia,2017,279.157,1.3521,103.8198
India,South Asia,2011,1197.931,20.5937,78.9629
Mexico,North America,2026,1403.198,23.6345,-102.5528
Romania,Europe,2021,216.626,45.9432,24.9668
Mexico,North America,2019,1230.436,23.6345,-102.5528
Bhutan,South Asia,2026,7.134,27.5142,90.4336
Singapore,Asia,2021,348.104,1.3521,103.8198
Fiji,Oceania,2020,4.802,-17.7134,178.065
Bhutan,South Asia,2013,3.468,27.5142,90.4336
Belgium,Europe,2006,299.687,50.5039,4.4699
Belgium,Europe,2004,283.744,50.5039,4.4699
Estonia,Europe,2016,29.784,58.5953,25.0136
Mexico,North America,2024,1257.752,23.6345,-102.5528
Fiji,Oceania,2012,3.533,-17.7134,178.065
Algeria,Africa,2011,163.965,28.0339,1.6596
Mexico,North America,2026,1372.937,23.6345,-102.5528
Algeria,Africa,2011,171.003,28.0339,1.6596
Costa Rica,Central America,2015,27.833,9.7489,-83.7534
Algeria,Africa,2022,188.948,28.0339,1.6596
Fiji,Oceania,2012,3.546,-17.7134,178.065
Algeria,Africa,2023,207.431,28.0339,1.6596
Algeria,Africa,2005,156.727,28.0339,1.6596
Fiji,Oceania,2012,3.837,-17.7134,178.065
Romania,Europe,2007,142.078,45.9432,24.9668
Costa Rica,Central America,2007,22.267,9.7489,-83.7534
Belgium,Europe,2023,353.198,50.5039,4.4699
Belgium,Europe,2010,328.707,50.5039,4.4699
Costa Rica,Central America,2019,30.884,9.7489,-83.7534
Costa Rica,Central America,2010,25.66,9.7489,-83.7534
Bhutan,South Asia,2019,5.184,27.5142,90.4336
Algeria,Africa,2018,195.234,28.0339,1.6596
Nepal,South Asia,2015,10.661,28.3949,84.124
India,South Asia,2018,1946.582,20.5937,78.9629
Costa Rica,Central America,2012,24.661,9.7489,-83.7534
Singapore,Asia,2004,169.693,1.3521,103.8198
Belgium,Europe,2017,348.788,50.5039,4.4699
Bhutan,South Asia,2010,3.126,27.5142,90.4336
Algeria,Africa,2019,172.214,28.0339,1.6596
India,South Asia,2015,1682.919,20.5937,78.9629
Estonia,Europe,2019,29.463,58.5953,25.0136
Singapore,Asia,2019,348.382,1.3521,103.8198
India,South Asia,2016,1652.184,20.5937,78.9629
Costa Rica,Central America,2022,33.474,9.7489,-83.7534
Algeria,Africa,2009,153.825,28.0339,1.6596
Singapore,Asia,2018,330.647,1.3521,103.8198
India,South Asia,2018,2180.534,20.5937,78.9629
Romania,Europe,2026,217.624,45.9432,24.9668
Singapore,Asia,2012,220.999,1.3521,103.8198
Estonia,Europe,2008,23.115,58.5953,25.0136
Fiji,Oceania,2023,5.77,-17.7134,178.065
Algeria,Africa,2014,184.227,28.0339,1.6596
Fiji,Oceania,2005,2.79,-17.7134,178.065
Estonia,Europe,2008,21.5,58.5953,25.0136
Fiji,Oceania,2022,5.733,-17.7134,178.065
Nepal,South Asia,2026,17.777,28.3949,84.124
India,South Asia,2010,1185.47,20.5937,78.9629
Fiji,Oceania,2008,3.523,-17.7134,178.065
Nepal,South Asia,2025,16.771,28.3949,84.124
Costa Rica,Central America,2013,26.754,9.7489,-83.7534
Estonia,Europe,2014,25.691,58.5953,25.0136
Belgium,Europe,2023,344.788,50.5039,4.4699
Estonia,Europe,2011,23.335,58.5953,25.0136
Algeria,Africa,2010,173.419,28.0339,1.6596
Fiji,Oceania,2020,4.478,-17.7134,178.065
Nepal,South Asia,2019,12.11,28.3949,84.124
Algeria,Africa,2025,197.912,28.0339,1.6596
Mexico,North America,2015,1123.428,23.6345,-102.5528
Estonia,Europe,2006,20.596,58.5953,25.0136
India,South Asia,2006,821.342,20.5937,78.9629
Singapore,Asia,2022,362.645,1.3521,103.8198
India,South Asia,2009,1093.436,20.5937,78.9629
Bhutan,South Asia,2019,4.823,27.5142,90.4336
Nepal,South Asia,2019,13.257,28.3949,84.124
Mexico,North America,2024,1280.237,23.6345,-102.5528
Romania,Europe,2004,119.412,45.9432,24.9668
Mexico,North America,2021,1202.557,23.6345,-102.5528
Belgium,Europe,2026,376.272,50.5039,4.4699
Belgium,Europe,2024,376.045,50.5039,4.4699
Singapore,Asia,2006,200.36,1.3521,103.8198
India,South Asia,2009,987.441,20.5937,78.9629
India,South Asia,2024,3185.889,20.5937,78.9629
Estonia,Europe,2014,24.718,58.5953,25.0136
Romania,Europe,2010,159.943,45.9432,24.9668
Belgium,Europe,2008,337.014,50.5039,4.4699
Romania,Europe,2022,228.578,45.9432,24.9668
Mexico,North America,2010,975.585,23.6345,-102.5528
Fiji,Oceania,2017,4.442,-17.7134,178.065
Singapore,Asia,2019,322.592,1.3521,103.8198
Mexico,North America,2026,1425.82,23.6345,-102.5528
Algeria,Africa,2005,165.85,28.0339,1.6596
India,South Asia,2005,808.541,20.5937,78.9629
India,South Asia,2007,787.01,20.5937,78.9629
Estonia,Europe,2021,30.439,58.5953,25.0136
Costa Rica,Central America,2011,23.208,9.7489,-83.7534
Fiji,Oceania,2019,5.093,-17.7134,178.065
Bhutan,South Asia,2026,7.121,27.5142,90.4336
Fiji,Oceania,2011,3.677,-17.7134,178.065
Costa Rica,Central America,2017,29.827,9.7489,-83.7534
Algeria,Africa,2010,156.262,28.0339,1.6596
Nepal,South Asia,2016,10.387,28.3949,84.124
Costa Rica,Central America,2023,35.709,9.7489,-83.7534
Mexico,North America,2004,906.261,23.6345,-102.5528
India,South Asia,2005,761.348,20.5937,78.9629
Algeria,Africa,2015,184.7,28.0339,1.6596
Bhutan,South Asia,2021,5.104,27.5142,90.4336
Costa Rica,Central America,2016,30.658,9.7489,-83.7534
Singapore,Asia,2022,369.681,1.3521,103.8198
Fiji,Oceania,2004,2.979,-17.7134,178.065
Romania,Europe,2009,167.576,45.9432,24.9668
Algeria,Africa,2016,186.19,28.0339,1.6596
India,South Asia,2012,1392.279,20.5937,78.9629
Belgium,Europe,2022,351.131,50.5039,4.4699
Estonia,Europe,2018,29.895,58.5953,25.0136
Bhutan,South Asia,2020,4.731,27.5142,90.4336
India,South Asia,2006,784.599,20.5937,78.9629
Romania,Europe,2012,154.12,45.9432,24.9668
Romania,Europe,2024,221.513,45.9432,24.9668
Mexico,North America,2007,995.537,23.6345,-102.5528
Romania,Europe,2020,209.236,45.9432,24.9668
Nepal,South Asia,2022,15.333,28.3949,84.124
Costa Rica,Central America,2017,29.744,9.7489,-83.7534
Bhutan,South Asia,2016,3.97,27.5142,90.4336
Singapore,Asia,2004,185.857,1.3521,103.8198
India,South Asia,2018,2252.624,20.5937,78.9629
Costa Rica,Central America,2007,23.479,9.7489,-83.7534
Singapore,Asia,2023,404.721,1.3521,103.8198
Costa Rica,Central America,2021,35.168,9.7489,-83.7534
Fiji,Oceania,2015,4.182,-17.7134,178.065
Fiji,Oceania,2017,4.245,-17.7134,178.065
Romania,Europe,2018,200.145,45.9432,24.9668
Nepal,South Asia,2014,9.993,28.3949,84.124
Mexico,North America,2017,1132.917,23.6345,-102.5528
Mexico,North America,2010,1071.463,23.6345,-102.5528
Bhutan,South Asia,2004,2.149,27.5142,90.4336
Fiji,Oceania,2021,4.389,-17.7134,178.065
Nepal,South Asia,2024,16.063,28.3949,84.124
Singapore,Asia,2005,196.349,1.3521,103.8198
Belgium,Europe,2024,336.938,50.5039,4.4699
Belgium,Europe,2012,337.833,50.5039,4.4699
Singapore,Asia,2007,201.965,1.3521,103.8198
Mexico,North America,2016,1175.457,23.6345,-102.5528
Nepal,South Asia,2008,7.097,28.3949,84.124
Singapore,Asia,2024,397.901,1.3521,103.8198
Bhutan,South Asia,2023,6.44,27.5142,90.4336
Belgium,Europe,2018,340.267,50.5039,4.4699
Algeria,Africa,2021,209.146,28.0339,1.6596
Romania,Europe,2012,160.942,45.9432,24.9668
Fiji,Oceania,2010,3.733,-17.7134,178.065
Bhutan,South Asia,2022,5.263,27.5142,90.4336
Costa Rica,Central America,2023,39.967,9.7489,-83.7534
Belgium,Europe,2020,353.945,50.5039,4.4699
Belgium,Europe,2012,326.773,50.5039,4.4699
India,South Asia,2004,627.756,20.5937,78.9629
Fiji,Oceania,2017,4.198,-17.7134,178.065
Mexico,North America,2022,1301.085,23.6345,-102.5528
Mexico,North America,2020,1350.295,23.6345,-102.5528
Nepal,South Asia,2005,6.066,28.3949,84.124
Estonia,Europe,2012,25.049,58.5953,25.0136
Fiji,Oceania,2011,3.204,-17.7134,178.065
Algeria,Africa,2005,157.268,28.0339,1.6596
Romania,Europe,2020,201.039,45.9432,24.9668
India,South Asia,2020,2530.673,20.5937,78.9629
Fiji,Oceania,2017,4.222,-17.7134,178.065
Costa Rica,Central America,2007,24.251,9.7489,-83.7534
Costa Rica,Central America,2010,26.188,9.7489,-83.7534
Mexico,North America,2025,1366.498,23.6345,-102.5528
Belgium,Europe,2025,380.55,50.5039,4.4699
Nepal,South Asia,2013,8.739,28.3949,84.124
Algeria,Africa,2004,133.86,28.0339,1.6596
Fiji,Oceania,2006,2.993,-17.7134,178.065
India,South Asia,2011,1176.502,20.5937,78.9629
Belgium,Europe,2012,321.198,50.5039,4.4699
Belgium,Europe,2012,334.502,50.5039,4.4699
Estonia,Europe,2012,25.249,58.5953,25.0136
Singapore,Asia,2006,203.645,1.3521,103.8198
Bhutan,South Asia,2010,2.904,27.5142,90.4336
Belgium,Europe,2007,312.367,50.5039,4.4699
Algeria,Africa,2011,166.72,28.0339,1.6596
Bhutan,South Asia,2021,5.284,27.5142,90.4336
India,South Asia,2025,3300.49,20.5937,78.9629
Romania,Europe,2023,240.963,45.9432,24.9668
Costa Rica,Central America,2022,35.611,9.7489,-83.7534
Estonia,Europe,2005,21.922,58.5953,25.0136
Costa Rica,Central America,2017,31.441,9.7489,-83.7534
India,South Asia,2021,2689.123,20.5937,78.9629
Estonia,Europe,2006,19.868,58.5953,25.0136
Belgium,Europe,2018,360.535,50.5039,4.4699
Nepal,South Asia,2016,11.785,28.3949,84.124
Fiji,Oceania,2011,3.397,-17.7134,178.065
Estonia,Europe,2005,21.21,58.5953,25.0136
Fiji,Oceania,2004,3.317,-17.7134,178.065
Romania,Europe,2020,206.867,45.9432,24.9668
Algeria,Africa,2011,167.608,28.0339,1.6596
Nepal,South Asia,2010,7.281,28.3949,84.124
Romania,Europe,2026,244.33,45.9432,24.9668
Nepal,South Asia,2024,16.75,28.3949,84.124
Estonia,Europe,2017,29.053,58.5953,25.0136
Nepal,South Asia,2011,8.257,28.3949,84.124
Belgium,Europe,2007,300.145,50.5039,4.4699
Costa Rica,Central America,2015,29.581,9.7489,-83.7534
Fiji,Oceania,2007,3.351,-17.7134,178.065
Bhutan,South Asia,2006,2.319,27.5142,90.4336
Romania,Europe,2009,143.624,45.9432,24.9668
Belgium,Europe,2022,391.327,50.5039,4.4699
Belgium,Europe,2021,358.97,50.5039,4.4699
Estonia,Europe,2019,29.396,58.5953,25.0136
Singapore,Asia,2018,328.178,1.3521,103.8198
Algeria,Africa,2025,192.627,28.0339,1.6596
Fiji,Oceania,2014,3.722,-17.7134,178.065
Algeria,Africa,2024,210.588,28.0339,1.6596
Singapore,Asia,2012,244.833,1.3521,103.8198
Singapore,Asia,2018,322.56,1.3521,103.8198
Algeria,Africa,2019,164.826,28.0339,1.6596
India,South Asia,2011,1163.766,20.5937,78.9629
Romania,Europe,2014,175.068,45.9432,24.9668
Costa Rica,Central America,2004,18.274,9.7489,-83.7534
Singapore,Asia,2009,225.136,1.3521,103.8198
Bhutan,South Asia,2024,7.049,27.5142,90.4336
Romania,Europe,2009,158.93,45.9432,24.9668
India,South Asia,2012,1292.594,20.5937,78.9629
Algeria,Africa,2025,192.696,28.0339,1.6596
Nepal,South Asia,2023,16.579,28.3949,84.124
Bhutan,South Asia,2014,3.375,27.5142,90.4336
India,South Asia,2022,2749.102,20.5937,78.9629
Bhutan,South Asia,2023,5.911,27.5142,90.4336
Nepal,South Asia,2012,8.872,28.3949,84.124
Bhutan,South Asia,2004,2.057,27.5142,90.4336
Estonia,Europe,2014,24.379,58.5953,25.0136
Estonia,Europe,2026,35.955,58.5953,25.0136
Fiji,Oceania,2015,4.377,-17.7134,178.065
Costa Rica,Central America,2024,37.46,9.7489,-83.7534
Costa Rica,Central America,2005,23.026,9.7489,-83.7534
India,South Asia,2022,2826.206,20.5937,78.9629
Fiji,Oceania,2022,5.117,-17.7134,178.065
Nepal,South Asia,2015,9.68,28.3949,84.124
Fiji,Oceania,2009,3.593,-17.7134,178.065
Romania,Europe,2012,159.18,45.9432,24.9668
Fiji,Oceania,2016,4.336,-17.7134,178.065
India,South Asia,2023,2989.057,20.5937,78.9629
Algeria,Africa,2014,172.528,28.0339,1.6596
Romania,Europe,2005,139.671,45.9432,24.9668
India,South Asia,2020,2351.467,20.5937,78.9629
Mexico,North America,2004,897.534,23.6345,-102.5528
Costa Rica,Central America,2024,35.301,9.7489,-83.7534
Estonia,Europe,2018,28.076,58.5953,25.0136
Singapore,Asia,2026,407.321,1.3521,103.8198
Mexico,North America,2020,1172.72,23.6345,-102.5528
Fiji,Oceania,2013,3.899,-17.7134,178.065
India,South Asia,2007,843.519,20.5937,78.9629
Bhutan,South Asia,2026,7.389,27.5142,90.4336
Romania,Europe,2016,193.294,45.9432,24.9668
India,South Asia,2004,695.912,20.5937,78.9629
Fiji,Oceania,2022,4.997,-17.7134,178.065
Singapore,Asia,2005,189.253,1.3521,103.8198
Algeria,Africa,2017,176.364,28.0339,1.6596
Romania,Europe,2025,237.764,45.9432,24.9668
Mexico,North America,2011,1096.754,23.6345,-102.5528
Nepal,South Asia,2017,12.002,28.3949,84.124
Mexico,North America,2021,1353.376,23.6345,-102.5528
Estonia,Europe,2011,23.917,58.5953,25.0136
Fiji,Oceania,2012,3.799,-17.7134,178.065
Singapore,Asia,2007,199.172,1.3521,103.8198
India,South Asia,2008,997.745,20.5937,78.9629
Algeria,Africa,2019,167.611,28.0339,1.6596
Romania,Europe,2013,162.588,45.9432,24.9668
Bhutan,South Asia,2019,4.46,27.5142,90.4336
Romania,Europe,2005,143.182,45.9432,24.9668
Mexico,North America,2020,1407.423,23.6345,-102.5528
Mexico,North America,2019,1137.208,23.6345,-102.5528
Mexico,North America,2007,886.94,23.6345,-102.5528
Belgium,Europe,2020,358.701,50.5039,4.4699
Nepal,South Asia,2009,8.446,28.3949,84.124
Belgium,Europe,2022,390.678,50.5039,4.4699
Bhutan,South Asia,2018,4.392,27.5142,90.4336
Bhutan,South Asia,2011,2.832,27.5142,90.4336
Singapore,Asia,2012,249.638,1.3521,103.8198
Fiji,Oceania,2024,5.31,-17.7134,178.065
Mexico,North America,2026,1429.17,23.6345,-102.5528
Nepal,South Asia,2017,11.267,28.3949,84.124
Singapore,Asia,2014,269.354,1.3521,103.8198
Singapore,Asia,2004,166.374,1.3521,103.8198
Algeria,Africa,2006,162.511,28.0339,1.6596
Belgium,Europe,2023,373.654,50.5039,4.4699
Algeria,Africa,2006,159.523,28.0339,1.6596
Estonia,Europe,2016,27.704,58.5953,25.0136
Belgium,Europe,2014,351.088,50.5039,4.4699
Romania,Europe,2005,138.801,45.9432,24.9668
Nepal,South Asia,2015,9.189,28.3949,84.124
Belgium,Europe,2017,333.049,50.5039,4.4699
Estonia,Europe,2006,21.346,58.5953,25.0136
Mexico,North America,2006,900.35,23.6345,-102.5528
Nepal,South Asia,2020,13.337,28.3949,84.124
Bhutan,South Asia,2004,1.967,27.5142,90.4336
Estonia,Europe,2010,23.686,58.5953,25.0136
Algeria,Africa,2025,209.277,28.0339,1.6596
Bhutan,South Asia,2012,3.341,27.5142,90.4336
Algeria,Africa,2024,219.252,28.0339,1.6596
Belgium,Europe,2005,325.33,50.5039,4.4699
Belgium,Europe,2023,344.174,50.5039,4.4699
Singapore,Asia,2005,187.699,1.3521,103.8198
Bhutan,South Asia,2010,2.992,27.5142,90.4336
Nepal,South Asia,2014,9.669,28.3949,84.124
Estonia,Europe,2024,32.311,58.5953,25.0136
Nepal,South Asia,2014,9.434,28.3949,84.124
Belgium,Europe,2007,291.175,50.5039,4.4699
India,South Asia,2018,2160.93,20.5937,78.9629
Nepal,South Asia,2017,10.883,28.3949,84.124
Algeria,Africa,2019,196.906,28.0339,1.6596
Fiji,Oceania,2019,4.646,-17.7134,178.065
India,South Asia,2008,892.358,20.5937,78.9629
Romania,Europe,2006,142.744,45.9432,24.9668
Romania,Europe,2012,178.922,45.9432,24.9668
Fiji,Oceania,2009,3.483,-17.7134,178.065
Algeria,Africa,2004,164.133,28.0339,1.6596
Belgium,Europe,2007,317.465,50.5039,4.4699
Romania,Europe,2016,202.716,45.9432,24.9668
Nepal,South Asia,2006,6.752,28.3949,84.124
Algeria,Africa,2009,160.809,28.0339,1.6596
Mexico,North America,2024,1374.945,23.6345,-102.5528
Estonia,Europe,2011,22.956,58.5953,25.0136
Nepal,South Asia,2018,11.834,28.3949,84.124
Mexico,North America,2004,852.783,23.6345,-102.5528
Costa Rica,Central America,2023,33.665,9.7489,-83.7534
Bhutan,South Asia,2004,2.029,27.5142,90.4336
Singapore,Asia,2011,230.712,1.3521,103.8198
Costa Rica,Central America,2016,29.141,9.7489,-83.7534
Singapore,Asia,2005,183.572,1.3521,103.8198
Mexico,North America,2024,1234.776,23.6345,-102.5528
Fiji,Oceania,2017,4.063,-17.7134,178.065
Bhutan,South Asia,2018,4.858,27.5142,90.4336
Bhutan,South Asia,2022,5.45,27.5142,90.4336
India,South Asia,2014,1598.109,20.5937,78.9629
Romania,Europe,2020,204.393,45.9432,24.9668
Nepal,South Asia,2026,16.289,28.3949,84.124
